RB饿狼传说 I	( 440096 KB)
RB饿狼传说 II	( 409001 KB)
RB饿狼传说 特别版	( 397240 KB)
霸王忍法帖	( 331788 KB)
超铁战机	( 426743 KB)
谍报飞龙	( 234146 KB)
斗士的历史	( 367406 KB)
饿狼传说 I	( 362365 KB)
饿狼传说 II	( 329619 KB)
饿狼传说 III	( 389658 KB)
饿狼传说 特别版	( 396706 KB)
风云默示录	( 337398 KB)
合金弹头 I	( 422205 KB)
合金弹头 II	( 456464 KB)
惑星战机	( 365608 KB)
极速英豪 拉力赛车	( 168344 KB)
龙虎之拳 I	( 243619 KB)
龙虎之拳 II	( 380305 KB)
龙虎之拳 III	( 322273 KB)
泡泡龙解谜	( 2217 KB)
拳皇94	( 364815 KB)
拳皇95	( 347602 KB)
拳皇96	( 374710 KB)
拳皇97	( 379312 KB)
拳皇98	( 394123 KB)
拳皇99	( 382600 KB)
圣十字剑 I	( 210033 KB)
圣十字剑 II	( 249389 KB)
神凰拳	( 424838 KB)
侍魂 I	( 314767 KB)
侍魂 II	( 330313 KB)
侍魂 III	( 326824 KB)
侍魂 IV	( 288913 KB)
世界英雄 I	( 322005 KB)
世界英雄 II	( 339560 KB)
世界英雄 II JET	( 247771 KB)
世界英雄 完美版	( 386122 KB)
视觉战机	( 190934 KB)
双截龙	( 434546 KB)
四国战机 II	( 345208 KB)
四国战机 III	( 208061 KB)
天外魔境真传	( 312062 KB)
银河快打	( 412953 KB)
月华剑士 I	( 299190 KB)
月华剑士 II	( 287191 KB)
战国传承 I	( 367266 KB)
战国传承 II	( 334371 KB)
真说侍魂武士道烈传	( 296672 KB)
真说侍魂武士道烈传 日文版	( 283166 KB)
